question,answer,id,relevant_passage_ids
Which molecule is targeted by Olaratumab?,Olaratumab is a recombinant human monoclonal antibody that binds to platelet-derived growth factor receptor-α (PDGFRα). It is used for treatment of soft tissue sarcoma.,2872,"[28187274 28917265 28778132 24816152 29191969 29263653 24452395 29413687
 30406840 27995580 30353601 28691538 28620891 27291997 29497315 29478115
 28734947 30513001 28838379 28745071 28447475]"
What is the basis of the BLISS technique?,"Here we present Breaks Labeling In Situ and Sequencing (BLISS), a versatile and quantitative method for genome-wide profiling of DNA double-strand breaks.",3678,[29043625 29443107 28497783]
What is the typical alteration of the thyroid profile metabolism early after coronary artery bypass graft surgery?,Low T3 Syndrome is the more frequent alteration of thyroid hormone profile early after coronary artery bypass graft surgery.,713,[15843233 12537197  6422832  9010711 22358266]
Which are the enzymes involved in the addition of 7-methylguanosine in mRNA?,"The 7-methylguanosine cap added to the 5′ end of mRNA is essential for efficient gene expression and cell viability. Methylation of the guanosine cap is necessary for the translation of most cellular mRNAs in all eukaryotic organisms in which it has been investigated. In some experimental systems, cap methylation has also been demonstrated to promote transcription, splicing, polyadenylation and nuclear export of mRNA. In the addition of 7-methylguanosine in mRNA involved the RNA polymerase II, RNA guanylyltransferase and RNA guanine-7 methyltransferase enzymes.",708,"[ 2072458 11879179 20713356 24200467  7831320   956186  9707557 23863084
 21118133  1002690  6649413 22985415 22817748  6478055  9725672 24273643
 21170289 10662770   729595 24552703]"
Which are the inhibitors of histone methyltransferases?,"In general, histone methyltransferases (HMTs) have no widely approved high-throughput screening assay format, and therefore reference inhibitors are not available for many of the HMTs. However, there are several selective HMT inhibitors: Trichostatin A (TSA), BIX-01294 and its derivative TM2-115, 2,4-pyridinedicarboxylic acid (2,4-PDCA), 3-deazaneplanocin A (DZNep), Psammaplin A (PsA) and Sulforaphane (SFN).",513,"[22904200 22665483 22429326 22420752 21936531 22357272 23077658 23557020
 22522911 23379261 23139138 19860425 21546573 23092945 20567762 23011794
 22560341 20556507 22964322 21940714 22781932 22924785]"
Which was the first mutant IDH2 inhibitor to be approved for patients with acute myeloid leukemia?,Enasidenib was the first mutant IDH2 inhibitor to be approved for the treatment of refractory and relapsed acute myeloid leukemia.,2925,[30360730]
List mediators that are released from mast cells?,"tryptase
histamine
heparin proteoglycan
chymase
cytokines
2,3-dinor-11β-PGF2α
leukotriene (LT)E4",4014,[31709696 31722348 18039527]
Does an antiphlogistic promotes inflammation?,Antiinflammatory agents: new series of N-substituted amino acids with complex pyrimidine structures endowed with antiphlogistic activity.,3856,"[ 2806531   125891  8254024 10321035 16756015 17704978 28972949 28208246
  9595260  7286205]"
Can Systemic Lupus Erythematosus cause seizures?,"In the extant literature, an increased risk of seizures has been described in several inflammatory/autoimmune disorders, including systemic lupus erythematosus (SLE)",3656,[18813701 22492779 29208845 29103182 15985581 28387089 15557494 17875548]
What are the generic versions of Viagra,Sildenafil Citrate and Elonza in Thailand are the generic versions of Viagra,1046,[21054594 21591526 22386826]
What is the purpose of the 123 dihydrorhodamine assay?,detection of inheritance pattern in thirty-three mexican males with chronic granulomatous disease,3532,[20856225 19859718 23826567 15331626 25262961 24890515 26865172 19404956]
What is the use of Brain Metastasis Velocity (BMV) Model?,Brain metastasis velocity (BMV) is a metric that describes the rate of development of new brain metastases (BM) after initial stereotactic radiosurgery.,4660,[34775780 29740743 28586952 33817641 30524969 29464141 31526671]
What does fingolimod do to the grey matter of the brain?,"Fingolimod has been shown to reduce/prevent both focal and diffuse grey matter (GM) damage in active multiple sclerosis. The percentage of patients with new cortical lesions (CL) (13.5 vs. 89%, p < 0.001) and the percentage of GM volume change was lower in the fingolimod treated group (p < 0.001). The regional analysis revealed that the treated group had also less volume loss in thalamus, caudatus, globus pallidus, cingulate cortex, and hippocampus (p < 0.001), as well as in, cerebellum, superior frontal gyrus, and insular-long gyrus (p < 0.05).",3909,[29938336]
What is ChiRP-seq (Chromatin Isolation by RNA Purification sequencing)?,"ChiRP-seq (Chromatin Isolation by RNA Purification sequencing) is a method where tiling oligonucleotides retrieve specific lncRNAs with bound protein and DNA sequences, which are enumerated by deep sequencing. ChIRP-seq of three lncRNAs reveal that RNA occupancy sites in the genome are focal, sequence-specific, and numerous. ChIRP-seq is generally applicable to illuminate the intersection of RNA and chromatin with newfound precision genome wide.",1517,[21963238]
What conditions are associated with mutations in the gene FAAH?,"Human FAAH gene mutations are associated with increased body weight and obesity. Results suggest that genetic mutations in FAAH may constitute important risk factors for problem drug use and support a potential link between functional abnormalities in the endogenous cannabinoid system and drug abuse and dependence.
research on the genetic modulation of pain has already identified variants in these genes, relative to pain, which may facilitate the pharmacogenetic assessments of new analgesics.",3229,[10764768 20942817 27327781 20098695 12060782 22912404 22442717]
What is the protein product of the gene GBA2?,"The GBA2 gene encodes the non-lysosomal glucosylceramidase (NLGase), an enzyme that catalyzes the conversion of glucosylceramide (GlcCer) to ceramide and glucose.",3485,[29524657 30308956 29234271]
Which are the components that evaluate druglikeness?,"Lipinski's rule states that, in general, an orally active drug has no more than one violation of the following criteria:
No more than 5 hydrogen bond donors (the total number of nitrogen–hydrogen and oxygen–hydrogen bonds)
No more than 10 hydrogen bond acceptors (all nitrogen or oxygen atoms)
A molecular mass less than 500 daltons
An octanol-water partition coefficient (log P) that does not exceed 5",4513,[33217892 26771590 22778837 11259830 11300855 31817628 21480669 21142079]
Does SATB1 regulate the RAG1 and RAG2 genes?,"SATB1 binds to the ASE and Rag promoters, facilitating inclusion of Rag2 in the chromatin hub and the loading of RNA polymerase II to both the Rag1 and Rag2 promoters.",3360,[25847946  9886398]
Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?,"IκB degradation involves ubiquitination mediated by a specific E3 ubiquitin ligase SCF(β-TrCP). SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.",60,[17001349 20028970 16778892 10837071 22435548]
List kinases that phosphorylates the protein Bora.,"During cell division Bora becomes multiply phosphorylated by a variety of cell cycle kinases, including Aurora A and Plk1, and GSK3β and Cdk1 albeit at distinctive sites.",1842,[26038951 25803405 24675888 23442801 27831827]
Do mutations in KCNT2 only cause phenotypes with epilepsy?,No. There is a report of pathogenic variants in KCNT2 causing a developmental phenotype without epilepsy.,4558,[34061450]
What is the function of the H19 (ICR) locus in the human genome?,"We found that localized DNA demethylation at the H19 imprinting control region (ICR) induced by 5-AzaCdR, reduced IGF2, increased H19 expression, increased CTCF and cohesin recruitment and changed histone modifications.",2353,"[19293570 16006531 24990148 16107875 19584898 21600199 16815976 24023912
 23230275 21282187 18719115 20047949  8842735 16575185 16378710 21991322
 19546235 23585276]"
Describe SWItchMiner (SWIM),"SWItchMiner (SWIM) is a wizard-like software implementation of a procedure, previously described, able to extract information contained in complex networks. Specifically, SWIM allows unearthing the existence of a new class of hubs, called ""fight-club hubs"", characterized by a marked negative correlation with their first nearest neighbors. Among them, a special subset of genes, called ""switch genes"", appears to be characterized by an unusual pattern of intra- and inter-module connections that confers them a crucial topological role, interestingly mirrored by the evidence of their clinic-biological relevance.",3919,[28317894]
Which protein mediates gene loop formation in the yeast S. cerevisiae?,"Moreover, looping is dependent upon the general transcription factor TFIIB: the E62K (glutamic acid 62 --> lysine) form of TFIIB adversely affects looping at every gene tested, including BLM10, SAC3, GAL10, SEN1, and HEM3. TFIIB crosslinks to both the promoter and terminator regions of the PMA1 and BLM10 genes, and its association with the terminator, but not the promoter, is adversely affected by E62K and by depletion of the Ssu72 component of the CPF 3' end processing complex, and is independent of TBP.",2032,[17803944 21835917 22081613 19602510 24124207 18550805]
